Name,DiscRef,r_SpT,r_radius,r_log_g,r_Teff,r_Mass,r_D_Trig,r_pm,r_SDSS,r_PanSTARRS_y,JHKRef,MKORef,r_Peculiarities,r_Member,r_Gaia-G,r_RV,Polarization Ref,r_IRAC3p6,r_IRAC4p5,r_MKO-Y,r_Variable,r_Variable_period,r_IRAC5p8,r_IRAC8,r_MKO-L
J108.4590+38.2086,Best2015,Best2015,,,,,,Best2015,PS1,PS1,2MASS,,,,,,,,,,,,,,
2MASS J07140394+3702459,Faherty2016,Faherty2016,,,Faherty2016,Faherty2016,Faherty2016,Faherty2016,PS1,PS1,2MASS,,Faherty2016,Gagne2015c,,,,,,,,,,,
J0715-1145,Kirkpatrick2014,Kirkpatrick2014,,,,,,GagneBDs,PS1,PS1,2MASS,,Kirkpatrick2014,,,,,,,,,,,,
J0716-0630,Phan-Bao2008,Phan-Bao2008,,,,,,Phan-Bao2008,PS1,PS1,2MASS,,,,Gaia1,,,,,,,,,,
J0717+5705,Wilson2003b,Gagne2015c,,Gagne2015c,Gagne2015c,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,Blake2010,,,,,,,,,
J109.4864+46.5278,Best2015,Best2015,,,,,,Best2015,PS1,PS1,Best2015,,,,,,,,,,,,,,
J0719-5051,Reid2008,Reid2008,,,,,Marocco2013,HSOY,,,2MASS,,,,HSOY,,,,,,,,,,
J0720-0846,Gagne2015c,Gagne2015c,,Gagne2015c,Gagne2015c,,,,PS1,PS1,2MASS,,Gagne2015c,Gagne2015c,,,,,,,,,,,
J0720-5617,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,,,,,2MASS,,Gagne2015c,Gagne2015c,Gaia1,,,,,,,,,,
0722-0540,Lucas2010,Lucas2010,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Legg2012,HSOY,PS1,PS1,2MASS,,,,HSOY,,,,,,,,,,
J0723+3403,Mace2013,Mace2013,,,,,,,PS1,PS1,2MASS,,,,,,,Mace2013,Mace2013,,,,,,
J0723+5727,Reid2008,Reid2008,,,,,,HSOY,PS1,,2MASS,,,,HSOY,,,,,,,,,,
WISEA J072352.62-330943.5,Schneider2017,Schneider2017,,,,,,Schneider2017,PS1,,2MASS,,Schneider2017,,,,,,,,,,,,
J072651.73+630202.5,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
0727+1710,Burgasser2002,Burgasser2003d,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Lucas2010,Vrba2004,PS1,,2MASS,,,,,,,,,,,,,,
0729-3954,Looper2007,Looper2007,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Faherty2012,Dupuy2012,,,2MASS,,Looper2007,,,,,,,,,,,,
J0733+7544,Mace2013,Mace2013,,,,,,,,PS1,2MASS,,,,,,,Mace2013,Mace2013,,,,,,
J0734-7157,Kirkpatrick2012,Kirkpatrick2012,,,,,,,,,,,,,,,,,,,,,,,
J0735+4108,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,West2008,,Gaia1,Schmidt2010;West2008,,,,,,,,,
J0735+2720,Geibetaler2011,Geibetaler2011,,,,,,GagneBDs,PS1,PS1,2MASS,,Geibetaler2011,,,,,,,,,,,,
J0739+6615,Chiu2006,Chiu2006,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0740+2009,Knapp2004,Chiu2006,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0740+3212,Kirkpatrick2000,Kirkpatrick2000,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J115.0659+59.0473,Best2015,Best2015,,,,,,Best2015,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0741+2351,Knapp2004,Burgasser2006,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0741+0531,Kirkpatrick2010,Kirkpatrick2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
0742+2055,Knapp2004,Burgasser2006,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Faherty2012,Dupuy2012,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0742+1808,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,West2008,,,,,,,,,
J0744+5628,Kirkpatrick2011,Kirkpatrick2011,,,,,,,,PS1,2MASS,,,,,,,Mace2013,Mace2013,,,,,,
J0745+2332,Burningham2013,Burningham2013,,,,,,,,PS1,,Burningham2013,,,,,,,,Burningham2013,,,,,
J0745+2546,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,West2008;Schmidt2010,,,,,,,,,
J0746+2355,Burningham2013,Burningham2013,,,,,,,PS1,,,Burningham2013,,,,,,,,Burningham2013,,,,,
0746+2000,Reid2000,Kirkpatrick2000,,,,,Dupuy2012,Dahn2002,PS1,PS1,2MASS,,Reid2001,,,Schmidt2010;Reid2002;Blake2010,,,,,,,,,
J0746+2510,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J0747+2455,Burningham2013,Burningham2013,,,,,,,PS1,,,Burningham2013,,,,,,,,Burningham2013,,,,,
J0747+3947,Hawley2002,Hawley2002,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,Schmidt2010;West2008,,,,,,,,,
J117.1608+17.7259,Best2015,Best2015,,,,,,Best2015,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0750+2725,Kirkpatrick2011,Kirkpatrick2011,,,,,,,PS1,,2MASS,Kirkpatrick2011,,,,,,Kirkpatrick2011,Kirkpatrick2011,Scholz2012?,,,,,
J0750+3306,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,West2008,,,West2008,,,,,,,,,
J0750+4454,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,West2008,,,West2008,,,,,,,,,
J0751-7634,Kirkpatrick2011,Kirkpatrick2011,,,,,,,,,,Kirkpatrick2011,,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
0751-2530,Phan-Bao2008,Phan-Bao2008,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Dieterich2014,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
2MASS J07521548+1614237,Liu2016,,,,,,Liu2016,HSOY,PS1,PS1,2MASS,,,,HSOY,,,,,,,,,,
LP 423-31,Liu2016,Liu2016,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Liu2016,Liu2016,PS1,PS1,2MASS,,Liu2016,,,,,,,,,,,,
J0752-7947,Gagne2015c,Gagne2015c,,,,,,HSOY,,,2MASS,,Gagne2015c,Gagne2015c,HSOY,,,,,,,,,,
J0752+1734,Zhang2009,Zhang2009,,,,,,Zhang2009,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0752+4136,Hawley2002,Hawley2002,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0753+2917,Kirkpatrick2000,Kirkpatrick2000,,,,,,,PS1,PS1,2MASS,,,,Gaia1,,,,,,,,,,
WISE J075430.95+790957.8,Liu2016,Liu2016,,,,,Liu2016,Liu2016,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0754+7909,Mace2013,Mace2013,,,,,,GagneBDs,PS1,PS1,2MASS,,Mace2013,,,,,Mace2013,Mace2013,,,,,,
J0755+2934,Knapp2004,Knapp2004,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0755+2212,Burgasser2002,Burgasser2003d,,,,,,GagneBDs,PS1,,2MASS,,,,,,,,,,,,,,
J0756+1244,Kirkpatrick2000,Kirkpatrick2000,,,,,,Goldman2008,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0756+2314,Knapp2004,Chiu2006,,,,,,GagneBDs,SDSS9,,2MASS,,,,,,,,,,,,,,
J0757+0914,Zhang2009,Zhang2009,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0758-2538,Deacon2012,Deacon2012,,,,,VanLeuuwen2007 (host),GagneBDs,PS1,PS1,2MASS,38-Dupuy2012,Deacon2012,,,,,,,,,,,,
J0758+2225,Burningham2013,Burningham2013,,,,,,,,PS1,,Burningham2013,,,,,,,,Burningham2013,,,,,
J0758+3247,Knapp2004,Burgasser2006,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,Radigan2014a,Radigan2014a,,,
J0759+2427,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,West2008,,,West2008;Schmidt2010,,,,,,,,,
J0759+1855,Burningham2013,Burningham2013,,,,,,,PS1,PS1,,Burningham2013,,,,,,,,Burningham2013,,,,,
J0759-4904,Kirkpatrick2011,Kirkpatrick2011,,,,,,,,,,Mace2013,,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
J0800+5511,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J0800+4658,Hawley2002,Hawley2002,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,Schmidt2010,,,,,,,,,
